exe,tag,threads,schedule,chunk,md5_ok,time_ms
a_tc2_dynamic_1024,A_tc2_t2_dynamic_1024,2,baked,baked,1,1576
a_tc2_dynamic_1024,A_tc2_t4_dynamic_1024,4,baked,baked,1,1492
a_tc2_dynamic_1024,A_tc2_t8_dynamic_1024,8,baked,baked,1,1429
a_tc2_dynamic_1024,A_tc2_t16_dynamic_1024,16,baked,baked,1,1449
a_tc2_dynamic_1024,A_tc2_t32_dynamic_1024,32,baked,baked,1,1456
a_tc2_guided,A_tc2_t1_guided,1,baked,baked,1,1673
a_tc2_guided,A_tc2_t2_guided,2,baked,baked,1,1574
a_tc2_guided,A_tc2_t4_guided,4,baked,baked,1,1511
a_tc2_guided,A_tc2_t8_guided,8,baked,baked,1,1472
a_tc2_guided,A_tc2_t16_guided,16,baked,baked,1,1448
a_tc2_guided,A_tc2_t32_guided,32,baked,baked,1,1461
a_tc2_guided_64,A_tc2_t1_guided_64,1,baked,baked,1,1670
a_tc2_guided_64,A_tc2_t2_guided_64,2,baked,baked,1,1558
a_tc2_guided_64,A_tc2_t4_guided_64,4,baked,baked,1,1460
a_tc2_guided_64,A_tc2_t8_guided_64,8,baked,baked,1,1430
a_tc2_guided_64,A_tc2_t16_guided_64,16,baked,baked,1,1424
a_tc2_guided_64,A_tc2_t32_guided_64,32,baked,baked,1,1416
a_tc2_guided_256,A_tc2_t1_guided_256,1,baked,baked,1,1650
a_tc2_guided_256,A_tc2_t2_guided_256,2,baked,baked,1,1531
a_tc2_guided_256,A_tc2_t4_guided_256,4,baked,baked,1,1572
a_tc2_guided_256,A_tc2_t8_guided_256,8,baked,baked,1,1486
a_tc2_guided_256,A_tc2_t16_guided_256,16,baked,baked,1,1423
a_tc2_guided_256,A_tc2_t32_guided_256,32,baked,baked,1,1426
a_tc2_guided_1024,A_tc2_t1_guided_1024,1,baked,baked,1,1667
a_tc2_guided_1024,A_tc2_t2_guided_1024,2,baked,baked,1,1542
a_tc2_guided_1024,A_tc2_t4_guided_1024,4,baked,baked,1,1470
a_tc2_guided_1024,A_tc2_t8_guided_1024,8,baked,baked,1,1469
a_tc2_guided_1024,A_tc2_t16_guided_1024,16,baked,baked,1,1470
a_tc2_guided_1024,A_tc2_t32_guided_1024,32,baked,baked,1,1468
a_tc2_static,A_tc2_t1_static,1,baked,baked,1,1699
a_tc2_static,A_tc2_t2_static,2,baked,baked,1,1580
a_tc2_static,A_tc2_t4_static,4,baked,baked,1,1532
a_tc2_static,A_tc2_t8_static,8,baked,baked,1,1462
a_tc2_static,A_tc2_t16_static,16,baked,baked,1,1465
a_tc2_static,A_tc2_t32_static,32,baked,baked,1,1437
a_tc2_static_64,A_tc2_t1_static_64,1,baked,baked,1,1701
a_tc2_static_64,A_tc2_t2_static_64,2,baked,baked,1,1587
a_tc2_static_64,A_tc2_t4_static_64,4,baked,baked,1,1513
a_tc2_static_64,A_tc2_t8_static_64,8,baked,baked,1,1500
a_tc2_static_64,A_tc2_t16_static_64,16,baked,baked,1,1473
a_tc2_static_64,A_tc2_t32_static_64,32,baked,baked,1,1457
a_tc2_static_256,A_tc2_t1_static_256,1,baked,baked,1,1696
a_tc2_static_256,A_tc2_t2_static_256,2,baked,baked,1,1562
a_tc2_static_256,A_tc2_t4_static_256,4,baked,baked,1,1439
a_tc2_static_256,A_tc2_t8_static_256,8,baked,baked,1,1439
a_tc2_static_256,A_tc2_t16_static_256,16,baked,baked,1,1423
a_tc2_static_256,A_tc2_t32_static_256,32,baked,baked,1,1416
a_tc2_static_1024,A_tc2_t1_static_1024,1,baked,baked,1,1650
a_tc2_static_1024,A_tc2_t2_static_1024,2,baked,baked,1,1550
a_tc2_static_1024,A_tc2_t4_static_1024,4,baked,baked,1,1480
a_tc2_static_1024,A_tc2_t8_static_1024,8,baked,baked,1,1445
a_tc2_static_1024,A_tc2_t16_static_1024,16,baked,baked,1,1426
a_tc2_static_1024,A_tc2_t32_static_1024,32,baked,baked,1,1413
a_tc3_auto,A_tc3_t1_auto,1,baked,baked,1,1916
a_tc3_auto,A_tc3_t2_auto,2,baked,baked,1,1656
a_tc3_auto,A_tc3_t4_auto,4,baked,baked,1,1553
a_tc3_auto,A_tc3_t8_auto,8,baked,baked,1,1527
a_tc3_auto,A_tc3_t16_auto,16,baked,baked,1,1481
a_tc3_auto,A_tc3_t32_auto,32,baked,baked,1,1504
a_tc3_dynamic,A_tc3_t1_dynamic,1,baked,baked,1,1980
a_tc3_dynamic,A_tc3_t2_dynamic,2,baked,baked,1,1702
a_tc3_dynamic,A_tc3_t4_dynamic,4,baked,baked,1,1557
a_tc3_dynamic,A_tc3_t8_dynamic,8,baked,baked,1,1481
a_tc3_dynamic,A_tc3_t16_dynamic,16,baked,baked,1,1484
a_tc3_dynamic,A_tc3_t32_dynamic,32,baked,baked,1,1442
a_tc3_dynamic_64,A_tc3_t1_dynamic_64,1,baked,baked,1,1963
a_tc3_dynamic_64,A_tc3_t2_dynamic_64,2,baked,baked,1,1706
a_tc3_dynamic_64,A_tc3_t4_dynamic_64,4,baked,baked,1,1615
a_tc3_dynamic_64,A_tc3_t8_dynamic_64,8,baked,baked,1,1521
a_tc3_dynamic_64,A_tc3_t16_dynamic_64,16,baked,baked,1,1451
a_tc3_dynamic_64,A_tc3_t32_dynamic_64,32,baked,baked,1,1439
